Driver,Team,ClusterId,ClusterLabel,AvgNormalizedPace,ConsistencyStdSec,AvgDegradationSlopeSecPerLap,RaceMinusQualiDelta,PaceRank,ConsistencyRank,TireManagementRank
VER,Red Bull Racing,0,Elite All-Rounders,1.0279649991971442,10.301724243604836,0.0025951973864746384,0.018881314140787753,1,13,11
NOR,McLaren,0,Elite All-Rounders,1.028636551915719,10.23308728813289,0.005461026861275157,0.01737385554188431,2,11,13
LEC,Ferrari,0,Elite All-Rounders,1.0306943462389389,10.289276947060682,0.005848031824175871,0.01790608447591202,3,12,15
PIA,McLaren,0,Elite All-Rounders,1.0316388831171643,10.330682659915318,0.005640649971142299,0.018614312045388548,4,14,14
SAI,Ferrari,0,Elite All-Rounders,1.031880038177042,10.570598313515037,-4.876026239008064e-05,0.019429372799121047,5,18,9
RUS,Mercedes,0,Elite All-Rounders,1.0324093141744022,10.419855991609673,-0.004400086692119785,0.019647653343276117,6,15,6
HAM,Mercedes,0,Elite All-Rounders,1.0335385169606883,10.486425952368645,-0.027646070545386116,0.020277224222395196,7,17,2
BEA,Haas F1 Team,0,Elite All-Rounders,1.0335508406895997,9.77285774099291,-0.09081247388900486,0.013595473717383788,8,7,1
PER,Red Bull Racing,0,Elite All-Rounders,1.0338807221870048,10.45063871656029,0.005422996614805733,0.018818038314875274,9,16,12
DOO,Alpine,1,Developing / Volatile,1.052477591455952,1.3266660709750286,0.009462176916220739,0.0353934515764458,24,1,16
OCO,Alpine,2,Balanced Midfield,1.0433945121329065,10.588952298593163,0.059153184948228896,0.02114072177012738,18,20,23
LAW,RB,2,Balanced Midfield,1.0439151976199152,7.157027399112559,0.06686216872286153,0.01998608531306023,20,2,24
SAR,Williams,2,Balanced Midfield,1.0456442063212403,10.591639201168766,0.05326063213105742,0.01851670108097947,21,21,22
ZHO,Kick Sauber,2,Balanced Midfield,1.0456750047115702,9.370668592537873,0.010341252434389334,0.013257733670617888,22,4,17
ALO,Aston Martin,3,Strong Race Managers,1.0382513659527048,10.223783641741703,-0.0022326773279284476,0.022712395802012342,10,10,8
HUL,Haas F1 Team,3,Strong Race Managers,1.0400911487533004,10.210410736086155,0.023787427742640716,0.022685032429242025,11,9,19
COL,Williams,3,Strong Race Managers,1.041082943846643,8.457260660865328,-0.026639176138459137,0.020543136295748,12,3,3
TSU,RB,3,Strong Race Managers,1.0416314236568978,9.70021282279064,-0.004107685904730949,0.023663603459492366,13,5,7
STR,Aston Martin,3,Strong Race Managers,1.041747924733928,10.576244066300013,0.0251215716211974,0.02189774116668608,14,19,20
GAS,Alpine,3,Strong Race Managers,1.0418133342982012,10.780905175043511,0.02143292527444302,0.022076438995626724,15,22,18
ALB,Williams,3,Strong Race Managers,1.042183123041272,10.819102506238687,-0.014601324146263967,0.022967105964550205,16,23,5
MAG,Haas F1 Team,3,Strong Race Managers,1.043146022827991,9.739646464529752,0.029990499280293452,0.02330295985516373,17,6,21
RIC,RB,3,Strong Race Managers,1.0435031831653712,10.996195582519917,-0.019229837374565725,0.021316339259301653,19,24,4
BOT,Kick Sauber,3,Strong Race Managers,1.0464671538835335,10.149709730644448,0.0006283246474358969,0.021216374132654314,23,8,10
